
INPUT
START
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  1  0  0  0  0
  0  0  0  1  1  0  0  0
  0  0  0  1 -1  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
1. -c3  +b3  -e3  +f5  -a3  +c4  -e6  +f4  -g4  
2. -c3  +c4  -e3  +d2  -c1  +c2  -c5  +b3  -a3  
3. -c3  +c4  -e3  +d2  -c1  +c2  -c5  +f3  -g3  
4. -c3  +c4  -e3  +d2  -c1  +c2  -c5  +f5  -g6  
5. -c3  +c4  -e3  +d2  -c1  +c2  -c5  +d6  -d7  
6. -c3  +c4  -e3  +d2  -c1  +b3  -a3  +c2  -c5  
7. -c3  +c4  -e3  +f4  -g5  +f5  -c5  +c2  -b1  
8. -c3  +c4  -e3  +f4  -g5  +f5  -c5  +e2  -e1  
9. -c3  +c4  -e3  +f4  -g5  +f5  -c5  +b4  -a4  
10. -c3  +c4  -e3  +f4  -g5  +f5  -c5  +g4  -h4  
11. -c3  +c4  -e3  +f4  -g5  +f5  -c5  +e6  -e7  
12. -c3  +c4  -e3  +f4  -g5  +f5  -c5  +g6  -h7  
13. -c3  +c4  -e3  +f4  -g5  +e6  -e7  +f5  -c5  
14. -c3  +c4  -c5  +b4  -a3  +c2  -c1  +b3  -e3  
15. -c3  +c4  -c5  +b4  -a3  +b3  -e3  +c2  -c1  
16. -c3  +c4  -c5  +b4  -a3  +b3  -e3  +f4  -g4  
17. -c3  +c4  -c5  +b4  -a3  +b3  -e3  +c6  -c7  
18. -c3  +c4  -c5  +b4  -a3  +b3  -e3  +e6  -f7  
19. -c3  +c4  -c5  +d6  -e7  +f5  -g5  +e6  -e3  
20. -c3  +c4  -c5  +d6  -e7  +e6  -e3  +d2  -d1  
21. -c3  +c4  -c5  +d6  -e7  +e6  -e3  +b3  -a2  
22. -c3  +c4  -c5  +d6  -e7  +e6  -e3  +b5  -a5  
23. -c3  +c4  -c5  +d6  -e7  +e6  -e3  +f5  -g5  
24. -c3  +c4  -c5  +d6  -e7  +e6  -e3  +d7  -d8  
25. -c3  +c4  -c5  +d6  -e7  +e6  -e3  +f7  -g8  
26. -c3  +e6  -e3  +c4  -e7  +c2  -b3  +d2  -d1  
27. -e3  +f2  -c3  +f3  -g3  +c4  -c5  +e2  -e1  
28. -e3  +f4  -c3  +c4  -g5  +f5  -c5  +c2  -b1  
29. -e3  +f4  -c3  +c4  -g5  +f5  -c5  +e2  -e1  
30. -e3  +f4  -c3  +c4  -g5  +f5  -c5  +b4  -a4  
31. -e3  +f4  -c3  +c4  -g5  +f5  -c5  +g4  -h4  
32. -e3  +f4  -c3  +c4  -g5  +f5  -c5  +e6  -e7  
33. -e3  +f4  -c3  +c4  -g5  +f5  -c5  +g6  -h7  
