
INPUT
START
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  1  0  0  0  0
  0  0  0  1  1  0  0  0
  0  0  0  1 -1  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0
1. -c3  +b3  -b2  +b1  -a1  +f5  -d6  +d7  -c1  
2. -c3  +b3  -b2  +b1  -a1  +e6  -d6  +d7  -c1  
3. -c3  +b3  -b2  +b1  -a3  +f6  -c1  +b4  -a1  
4. -c3  +b3  -b2  +b1  -d6  +e6  -a1  +d7  -c1  
5. -c3  +b3  -b2  +b1  -d6  +d7  -a1  +f4  -c1  
6. -c3  +b3  -b2  +b1  -d6  +d7  -a1  +f5  -c1  
7. -c3  +b3  -b2  +b1  -d6  +d7  -a1  +e6  -c1  
8. -c3  +b3  -b2  +b1  -d6  +d7  -a1  +f6  -c1  
9. -c3  +b3  -b2  +f5  -d2  +d1  -e1  +a1  -c1  
10. -c3  +b3  -b2  +f5  -f4  +f3  -a3  +a1  -c1  
11. -c3  +b3  -b2  +f5  -d6  +b1  -a1  +d7  -c1  
12. -c3  +b3  -b2  +f5  -d6  +d7  -a3  +a1  -c1  
13. -c3  +b3  -b2  +f5  -f6  +f7  -a3  +a1  -c1  
14. -c3  +b3  -b2  +e6  -d2  +d1  -e1  +a1  -c1  
15. -c3  +b3  -b2  +e6  -d6  +b1  -a1  +d7  -c1  
16. -c3  +b3  -b2  +e6  -d6  +c6  -a3  +a1  -c1  
17. -c3  +b3  -b2  +e6  -d6  +d7  -a3  +a1  -c1  
18. -c3  +b3  -b2  +e6  -f6  +g6  -a3  +a1  -c1  
19. -c3  +b3  -d2  +d1  -b2  +f5  -e1  +a1  -c1  
20. -c3  +b3  -d2  +d1  -b2  +e6  -e1  +a1  -c1  
21. -c3  +b3  -d2  +d1  -e3  +f5  -c1  +f2  -e1  
22. -c3  +b3  -d2  +d1  -e3  +f5  -c1  +f3  -e1  
23. -c3  +b3  -d2  +d1  -e3  +f6  -c1  +f3  -e1  
24. -c3  +b3  -d2  +f5  -b2  +d1  -e1  +a1  -c1  
25. -c3  +b3  -d2  +e6  -b2  +d1  -e1  +a1  -c1  
26. -c3  +b3  -e3  +f3  -b2  +f5  -a3  +a1  -c1  
27. -c3  +b3  -e3  +f3  -b2  +e6  -a3  +a1  -c1  
28. -c3  +b3  -e3  +f5  -b2  +e2  -a3  +a1  -c1  
29. -c3  +b3  -e3  +f5  -b2  +f3  -a3  +a1  -c1  
30. -c3  +b3  -e3  +f5  -d2  +d1  -c1  +f2  -e1  
31. -c3  +b3  -e3  +f5  -d2  +d1  -c1  +f3  -e1  
32. -c3  +b3  -e3  +f6  -c2  +c1  -b1  +f3  -d1  
33. -c3  +b3  -f4  +f3  -b2  +f5  -a3  +a1  -c1  
34. -c3  +b3  -f4  +f5  -b2  +f3  -a3  +a1  -c1  
35. -c3  +b3  -f4  +f5  -b2  +g3  -a3  +a1  -c1  
36. -c3  +b3  -f4  +f5  -b2  +g4  -a3  +a1  -c1  
37. -c3  +b3  -c5  +e6  -b2  +b5  -a3  +a1  -c1  
38. -c3  +b3  -d6  +c6  -b2  +e6  -a3  +a1  -c1  
39. -c3  +b3  -d6  +e6  -b2  +b1  -a1  +d7  -c1  
40. -c3  +b3  -d6  +e6  -b2  +c6  -a3  +a1  -c1  
41. -c3  +b3  -d6  +e6  -b2  +d7  -a3  +a1  -c1  
42. -c3  +b3  -d6  +d7  -b2  +f4  -a3  +a1  -c1  
43. -c3  +b3  -d6  +d7  -b2  +f5  -a3  +a1  -c1  
44. -c3  +b3  -d6  +d7  -b2  +e6  -a3  +a1  -c1  
45. -c3  +b3  -d6  +d7  -c7  +f5  -d8  +b8  -b6  
46. -c3  +b3  -d6  +d7  -c7  +f6  -d8  +b8  -b6  
47. -c3  +b3  -d6  +d7  -c7  +b7  -b8  +f5  -a7  
48. -c3  +b3  -d6  +d7  -c7  +b7  -b8  +f6  -a7  
49. -c3  +f5  -d2  +d1  -e1  +b2  -d6  +d7  -c1  
